;AÑO;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
DEPARTAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;
NACIONAL;;1 769 532;2 241 529;1 635 427;1 839 209;1 179 068;1 928 353;1 906 087;1 340 458;1 385 110;1 408 481;1 349 868;781 340;1 637 705;846 260;1 118 572;524 605;839 705;650 239;750 307;1 415 359;810 530;1 048 514;1 251 052;976 405
ÁNCASH;;552 052;570 810;592 936;455 918;309 887;619 487;503 900;381 981;376 011;377 198;396 524;270 148;338 603;216 573;372 628;75 251;159 458;215 097;173 350;454 522;256 900;358 237;417 211;351 801
AREQUIPA;;52 465;47 880;43 798;102 706;13 892;39 520;134 288;96 471;109 109;103 637;83 645;8 925;90 877;55 030;27 534;45 492;35 966;27 853;29 971;23 844;36 606;-;19 696;29 750
CALLAO;;84 352;168 492;80 834;101 300;61 565;141 763;137 033;91 359;93 315;95 875;130 420;77 160;187 883;94 381;90 385;71 239;97 516;55 539;72 714;115 603;57 837;101 901;136 835;106 567
ICA;;231 771;342 507;170 783;267 350;100 223;95 873;281 383;149 595;112 446;178 075;259 415;118 904;359 760;149 165;124 897;107 392;234 041;70 825;145 595;155 690;92 793;64 455;121 239;89 177
LA LIBERTAD;;106 176;220 667;165 973;148 123;237 876;273 777;128 424;156 638;191 821;163 326;109 869;112 788;107 934;132 283;174 330;62 545;62 997;106 228;159 237;278 335;208 954;317 504;297 801;138 235
LIMA;;371 339;499 518;335 384;375 940;140 910;420 805;470 117;276 799;256 744;275 065;249 469;84 908;381 764;124 972;275 326;118 678;196 103;131 958;115 060;320 080;112 411;160 993;187 585;197 121
MOQUEGUA;;73 911;62 644;52 488;213 564;34 816;121 674;100 359;108 510;111 098;102 271;46 356;62 667;68 974;30 898;30 818;34 807;32 978;14 497;12 159;29 869;11 704;-;36 536;33 894
PIURA;;297 466;329 011;193 231;174 308;279 899;215 454;150 583;79 105;134 566;113 034;74 170;45 840;101 911;42 958;5 822;9 201;20 646;28 242;42 221;37 416;33 324;45 424;34 149;29 858
